uniq_id,product_name,manufacturer,amazon_category_and_sub_category,price,number_available_in_stock,type_available_in_stock,number_of_reviews,number_of_answered_questions,average_review_rating
eac7efa5dbd3d667f26eb3d3ab504464,Hornby 2014 Catalogue,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,34398234.42,5.0,new,15.0,1.0,4.9
348f344247b0c1a935b1223072ef9d8a,CLASSIC TOY TRAIN SET TRACK CARRIAGES LIGHT ENGINE BOXED BOYS KIDS BATTERY,ccf,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,9.99,2.0,new,17.0,2.0,3.9
87bbb472ef9d90dcef140a551665c929,Hornby Santa's Express Train Set,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,69.93,3.0,new,36.0,7.0,4.3
7e2aa2b4596a39ba852449718413d7cc,Hornby Gauge Western Express Digital Train Set with eLink and TTS Loco Train Set,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,235.58,4.0,new,1.0,1.0,5.0
5c76389a8c302c6d7d6e179393031b97,Hornby Gauge Railroad Mosley Tarmacadam Locomotive,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,27.49,6.0,new,1.0,1.0,5.0
f910c6542ededa5abf81787c0fd87c99,Bachmann 37-662 14 Ton Tank Wagon Pease & Partners Red,Bachmann,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,9.6,2.0,new,1.0,1.0,5.0
03a35de3f7af9814978e6de645cb8ffa,Hornby 00 Gauge 253mm Weathered Paviland Grange Steam Locomotive Train Model,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,119.5,2.0,new,3.0,1.0,5.0
0ca63377ca8015e585efa1d418f04756,Kumoyuni 74-0 Shonan Color (Model Train),Kato,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,17.08,26.0,new,1.0,1.0,4.0
42d20aa25e5902eff9f5d307bb38230e,Bachmann 31-588 Freightliner Class 70 005 Powerhaul Diesel Weathered,Bachmann,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,96.05,2.0,new,1.0,1.0,5.0
81b3ad5c07a31fa67e4dc8643afa3275,Preiser 30414 Horse Drawn Liquid Manure Wagon,Preiser,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,24.5,2.0,new,1.0,1.0,5.0
4eb5ea748ea030b14c3d1789f9578133,Plarail - S-29 Steam Locomotive Type C61-20 w/Head Light (Model Train),Takara Tomy,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,12.87,37.0,new,1.0,1.0,5.0
6c4062e5b0da136365915b470ec9d4a4,Plarail - AS-07 Shinkansen Series 700 (Model Train),Takara Tomy,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,14.44,35.0,new,1.0,1.0,5.0
93a2c5173f17b896dc614ffbac0c2f2c,Hornby R3246TTS LNER 2-8-2 'Cock O' The North' P2 Class with TTS Sound,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,139.95,3.0,new,1.0,1.0,5.0
efefa0150b69140f217da35f1f8a9e11,Faller 140322,Faller,Hobbies > Model Trains & Railway Sets > Accessories > Recreational Activities,25.5,4.0,new,1.0,1.0,4.0
e3284186ff6c2c43380001cc010338f0,Bachmann 32-882 Fairburn 2-6-4 Tank 42062 BR Lined Black Late Crest,Bachmann,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,99.95,2.0,new,2.0,1.0,4.5
e4bbad5854ce01970f9e6b879407f72d,Alps Glacier Express (Add-On 4-Car Set) (Model Train),Kato,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,49.33,22.0,new,2.0,1.0,5.0
9cfcb02573dc2bb4f04d8660dec33e84,Hornby Gloucester City Pullman Train Set,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,82.31,11.0,new,19.0,1.0,4.2
79e16a6819d997b7053a808a79d341b8,Hornby R3086 RailRoad LNER 4-6-2 'Flying Scotsman' Class A3 00 Gauge Steam Locomotive,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,69.99,11.0,new,17.0,1.0,4.8
cc4c844b8b6c42c63a2c024229ef0b81,Ohigawa Railway SL [Kawane-ji] (4-Car Set) (Model Train),Kato,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,50.81,16.0,new,1.0,1.0,5.0
eaa7356d0552e564a405fc35ceee3bf1,Dapol Stanier 57ft Non Corridor Brake Coach - OO Gauge Plastic Kit,Dapol,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,14.99,2.0,new,1.0,1.0,5.0
660b30ec7520119f22681588b9b1e25e,S-60 EF66 Electric Locomotive (Tomica PlaRail Model Train) (japan import),Takara Tomy,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,11.58,31.0,new,1.0,1.0,5.0
