uniq_id,product_name,manufacturer,amazon_category_and_sub_category,price,number_available_in_stock,type_available_in_stock,number_of_reviews,number_of_answered_questions,average_review_rating
ea80ee502cb41cfd09765eb7afd73a1b,Scalextric 1:32 Scale GT Lightning Slot Car (Purple),Scalextric,"Hobbies > Slot Cars, Race Tracks & Accessories > Slot Cars",19.99,9.0,new,33.0,1.0,4.4
a8b11bf3df8486e19d5a95bae5d0bdb2,Scalextric Digital C8515 Plug for Digital Plug Ready (DPR) Saloon cars 1:32 Scale Accessory,Scalextric,"Hobbies > Slot Cars, Race Tracks & Accessories > Service & Tuning Parts",11.98,16.0,new,33.0,1.0,4.7
92be8faa36ab72ed1c500624796b75ae,"Carrera GO!!! Audi A5 DTM M.Ekström, No.3 61270",Stadlbauer Marketing + Vertrieb GmbH,"Hobbies > Slot Cars, Race Tracks & Accessories > Slot Cars",22.84,18.0,new,1.0,1.0,5.0
a8029466f8407953df988359284f1184,Scalextric 1:32 Scale GT Lightning Slot Car (Blue),Scalextric,"Hobbies > Slot Cars, Race Tracks & Accessories > Slot Cars",19.98,11.0,new,26.0,1.0,4.6
5bfb8368264a8a6ca7c37c819dfc437d,K'Nex Princess Peach Birthday Girl Building Set,K'Nex,"Hobbies > Slot Cars, Race Tracks & Accessories > Slot Cars",14.44,12.0,new,2.0,1.0,5.0
f5ed05cd700be7b68725657cc9ce8349,Carrera Go Red Bull F1 Champions Racing Set,Carrera 'Go',"Hobbies > Slot Cars, Race Tracks & Accessories > Slot Cars",52.53,4.0,new,4.0,1.0,4.0
8463846e24aa5a007ccd82739d746657,"CARRERA 20061194 GO!!! - Cars - Disney/Pixar Cars 2 - ""Francesco Bernoulli""",Carrera,"Hobbies > Slot Cars, Race Tracks & Accessories > Slot Cars",23.45,18.0,new,1.0,1.0,5.0
c57e73ead3bbe48145481c1014dd97d6,Scalextric 1:32 Scale VW Beetle Slot Car,Scalextric,"Hobbies > Slot Cars, Race Tracks & Accessories > Slot Cars",34.99,6.0,new,3.0,1.0,5.0
b15d5ab01c98f1f3a98764e6d48aa2ab,Carrera 1/32 Evolution Audi A5 DTM M. Molinda No.20 2013 # 27453,Carrera,"Hobbies > Slot Cars, Race Tracks & Accessories > Slot Cars",37.48,7.0,new,1.0,1.0,5.0
51e096a531697b99193533794cf75540,Scalextric C3660 1:32 Scale Lamborghini Aventador Slot Car,Scalextric,"Hobbies > Slot Cars, Race Tracks & Accessories > Slot Cars",29.99,4.0,new,6.0,1.0,4.0
